# time of execution: 2022-11-14 17:04:20
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['0.8']
### sample paramters ###
# Sample: ['FGT']
# S=[2.0]
# mu_at=[2.0][mu_B]
# nz=1
# dx=[3.9e-10]	dy=[3.9e-10]	dz=[1.63e-09]	[m]
# atoms per unit cell:[10]
# asf=[0.035]
# Jint=[[0.0, 0.0]][J]
# Hex=0.0[J]
# gep=['4.4e+17'][W/m^3/K]
# factor cv_el=['200.0'][J/m^3/K^2]
# cv_ph_max=['1297763.7042694343'][J/m^3/K]
# Tc=[191][K]
# T_Deb=[460][K]
# kappa=[0][W/m/K]
# D=[0][W/m^2]
### pulse paramters ###
# peak power:1.25e+22[W/m^3]
# sigma=1.5e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	T_p(acc) [K]	itinerant mag
2.12	[[0.9930378615208589]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.13	[[0.9930068088532253]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.14	[[0.9929757721493466]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.15	[[0.9929447513982741]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.16	[[0.9929137465890648]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.17	[[0.9928827577107873]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.18	[[0.9928517847525206]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.19	[[0.9928208277033531]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.2	[[0.9927898865523832]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.21	[[0.9927589612887183]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.22	[[0.9927280519014765]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.23	[[0.9926971583797877]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.24	[[0.9926662807127884]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.25	[[0.9926354188896265]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.26	[[0.9926045728994591]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.27	[[0.9925737427314547]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.28	[[0.9925429283747887]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.29	[[0.9925121298186484]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.3	[[0.992481347052232]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.31	[[0.9924505800647447]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.32	[[0.9924198288454026]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.33	[[0.9923890933834315]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.34	[[0.9923583736680672]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.35	[[0.9923276696885563]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.36	[[0.9922969814341531]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.37	[[0.9922663088941228]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.38	[[0.9922356520577393]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
