# time of execution: 2022-11-14 13:34:36
### simulation parameters ###
# timestep dt=1e-16[s]
# initial temperature:100.0[K]
# initial magnetization [x,y,z]:['0.8']
### sample paramters ###
# Sample: ['FGT']
# S=[2.0]
# mu_at=[2.0][mu_B]
# nz=1
# dx=[3.9e-10]	dy=[3.9e-10]	dz=[1.63e-09]	[m]
# atoms per unit cell:[10]
# asf=[0.02]
# Jint=[[0.0, 0.0]][J]
# Hex=0.0[J]
# gep=['4.4e+17'][W/m^3/K]
# factor cv_el=['200.0'][J/m^3/K^2]
# cv_ph_max=['479174.29080717574'][J/m^3/K]
# Tc=[191][K]
# T_Deb=[460][K]
# kappa=[0][W/m/K]
# D=[0][W/m^2]
### pulse paramters ###
# peak power:2.5e+21[W/m^3]
# sigma=1.5e-14[s]
# delay=2.5e-11[s]
#############################
# time [ps]	magnetization	T_e [K]	T_p [K]	T_p(acc) [K]	itinerant mag
2.28	[[0.9956303138930963]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.29	[[0.9956118003506799]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.3	[[0.995593292326095]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.31	[[0.9955747898171379]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.32	[[0.9955562928216063]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.33	[[0.9955378013372975]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.34	[[0.9955193153620108]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.35	[[0.9955008348935501]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.36	[[0.9954823599297151]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.37	[[0.9954638904683095]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
2.38	[[0.9954454265071379]]	[[100.0]]	[[100.0]]	[[100.0]]	[[0]]
